id,pre_price
0,0,0
1,0,0
2,1,1
3,0,0
4,0,0
5,0,0
6,1,1
7,1,1
8,1,1
9,0,0
10,1,1
11,1,1
12,0,0
13,1,1
14,0,0
15,1,1
16,1,1
17,1,1
18,1,1
19,1,1
20,1,1
21,1,1
22,1,1
23,1,1
24,1,1
25,1,1
26,1,1
27,1,1
28,1,1
29,1,1
30,1,1
31,1,1
32,1,1
33,1,1
34,1,1
35,1,1
36,0,0
37,1,1
38,1,1
39,0,0
40,0,0
41,1,1
42,1,1
43,1,1
44,1,1
45,1,1
46,0,0
47,1,1
48,0,0
49,1,1
50,1,1
51,1,1
52,1,1
53,1,1
54,1,1
55,1,1
56,1,1
57,1,1
58,1,1
59,0,0
60,0,0
61,1,1
62,1,1
63,1,1
64,1,1
65,1,1
66,1,1
67,0,0
68,1,1
69,1,1
70,0,0
71,0,0
72,0,0
73,1,1
74,1,1
75,0,0
76,1,1
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,1,1
83,1,1
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,1,1
92,1,1
93,0,0
94,0,0
95,1,1
96,0,0
97,0,0
98,0,0
99,0,0
